ሀha,ሁhu,ሂhi,ሃha,ሄhe,ህhe,ሆho
ለla,ሉlu,ሊli,ላla,ሌle,ልle,ሎlo
ሐha,ሑhu,ሒhi,ሓha,ሔhe,ሕhe,ሖho
መma,ሙmu,ሚmi,ማma,ሜme,ምme,ሞmo
ሠsa,ሡsu,ሢsi,ሣsa,ሤse,ሥse,ሦso
ረra,ሩru,ሪri,ራra,ሬre,ርre,ሮro
ሰsa,ሱsu,ሲsi,ሳsa,ሴse,ስse,ሶso
ሸsa,ሹsu,ሺsi,ሻsa,ሼse,ሽse,ሾso
ቀqa,ቁqu,ቂqi,ቃqa,ቄqe,ቅqe,ቆqo
በba,ቡbu,ቢbi,ባba,ቤbe,ብbe,ቦbo
ተta,ቱtu,ቲti,ታta,ቴte,ትte,ቶto
ቸca,ቹcu,ቺci,ቻca,ቼce,ችce,ቾco
ኀha,ኁhu,ኂhi,ኃha,ኄhe,ኅhe,ኆho
ነna,ኑnu,ኒni,ናna,ኔne,ንne,ኖno
ኘna,ኙnu,ኚni,ኛna,ኜne,ኝne,ኞno
አa,ኡu,ኢi,ኣa,ኤe,እe,ኦo
ከka,ኩku,ኪki,ካka,ኬke,ክke,ኮko
ኸxa,ኹxu,ኺxi,ኻxa,ኼxe,ኽxe,ኾxo
ወwa,ዉwu,ዊwi,ዋwa,ዌwe,ውwe,ዎwo
ዐa,ዑu,ዒi,ዓa,ዔe,ዕe,ዖo
ዘza,ዙzu,ዚzi,ዛza,ዜze,ዝze,ዞzo
ዠza,ዡzu,ዢzi,ዣza,ዤze,ዥ,ze,ዦzo
የya,ዩyu,ዪyi,ያya,ዬye,ይye,ዮyo
ደda,ዱdu,ዲdi,ዳda,ዴde,ድde,ዶdo
ጀga,ጁgu,ጂgi,ጃga,ጄge,ጅgeg,ጆgo
ገga,ጉgu,ጊgi,ጋga,ጌge,ግge,ጎgo
ጠta,ጡtu,ጢti,ጣta,ጤte,ጥte,ጦto
ጨca,ጩcu,ጪci,ጫca,ጬce,ጭce,ጮco
ጰpa,ጱpu,ጲpi,ጳpa,ጴpe,ጵpep,ጶpo
ጸsa,ጹsu,ጺsi,ጻsa,ጼse,ጽse,ጾso
ፀsa,ፁsu,ፂsi,ፃsa,ፄse,ፅse,ፆso
ፈfa,ፉfu,ፊfi,ፋfa,ፌfe,ፍfe,ፎfo
ፐpa,ፑpu,ፒpi,ፓpa,ፔpe,ፕpe,ፖpo
ቨva,ቩvu,ቪvi,ቫva,ቬve,ቭve,ቮvo
